datetime,true,predicted,residual,abs_error
2024-06-13 17:45:00+00:00,37988.578,36477.43778501692,1511.1402149830828,1511.1402149830828
2024-06-13 18:00:00+00:00,37501.421,35047.85624657858,2453.564753421422,2453.564753421422
2024-06-13 18:15:00+00:00,36640.179,34816.03528046581,1824.143719534186,1824.143719534186
2024-06-13 18:30:00+00:00,35721.81,34364.424035119904,1357.3859648800935,1357.3859648800935
2024-06-13 18:45:00+00:00,35349.285,34263.63670007667,1085.648299923334,1085.648299923334
2024-06-13 19:00:00+00:00,34733.878,33960.764293705084,773.1137062949128,773.1137062949128
2024-06-13 19:15:00+00:00,34546.908,33954.58884287881,592.3191571211937,592.3191571211937
2024-06-13 19:30:00+00:00,34156.988,33854.57326516696,302.4147348330371,302.4147348330371
2024-06-13 19:45:00+00:00,34095.319,32396.436446636384,1698.882553363619,1698.882553363619
2024-06-13 20:00:00+00:00,33529.992,30697.29977299743,2832.692227002568,2832.692227002568
2024-06-13 20:15:00+00:00,32887.83,30416.930859859935,2470.899140140067,2470.899140140067
2024-06-13 20:30:00+00:00,33150.84,30416.930859859935,2733.909140140062,2733.909140140062
2024-06-13 20:45:00+00:00,32238.869,29708.28111996594,2530.587880034058,2530.587880034058
2024-06-13 21:00:00+00:00,31285.48,29297.279742429848,1988.2002575701517,1988.2002575701517
2024-06-13 21:15:00+00:00,30487.452,28652.239445839466,1835.2125541605346,1835.2125541605346
2024-06-13 21:30:00+00:00,29473.263,28065.721218398434,1407.5417816015652,1407.5417816015652
2024-06-13 21:45:00+00:00,28781.393,27710.501324409088,1070.8916755909122,1070.8916755909122
2024-06-13 22:00:00+00:00,28561.672,27709.525469241875,852.1465307581238,852.1465307581238
2024-06-13 22:15:00+00:00,27771.367,27282.493905590472,488.87309440952595,488.87309440952595
2024-06-13 22:30:00+00:00,27252.727,27068.192515035604,184.53448496439523,184.53448496439523
2024-06-13 22:45:00+00:00,26797.288,26648.689110296484,148.59888970351676,148.59888970351676
2024-06-13 23:00:00+00:00,26342.276,26443.680586206654,-101.40458620665231,101.40458620665231
2024-06-13 23:15:00+00:00,27383.285,27139.01184840459,244.27315159541104,244.27315159541104
2024-06-13 23:30:00+00:00,27296.276,26893.324886650764,402.95111334923786,402.95111334923786
2024-06-13 23:45:00+00:00,26946.967,26603.284466482313,343.68253351768726,343.68253351768726
2024-06-14 00:00:00+00:00,26354.846,26263.42361597966,91.42238402034127,91.42238402034127
2024-06-14 00:15:00+00:00,25958.4,25640.784750929095,317.61524907090643,317.61524907090643
2024-06-14 00:30:00+00:00,25532.87,25561.63335231873,-28.76335231873236,28.76335231873236
2024-06-14 00:45:00+00:00,25318.35,25545.58566963821,-227.23566963821213,227.23566963821213
2024-06-14 01:00:00+00:00,25345.293,25856.733302252593,-511.4403022525912,511.4403022525912
2024-06-14 01:15:00+00:00,25175.306,25836.45193375289,-661.1459337528904,661.1459337528904
2024-06-14 01:30:00+00:00,25154.314,25836.45193375289,-682.1379337528924,682.1379337528924
2024-06-14 01:45:00+00:00,25168.289,25775.267662624123,-606.9786626241221,606.9786626241221
2024-06-14 02:00:00+00:00,25409.289,27850.945330896768,-2441.656330896767,2441.656330896767
2024-06-14 02:15:00+00:00,25583.293,27984.483060042126,-2401.190060042125,2401.190060042125
2024-06-14 02:30:00+00:00,25748.321,28260.5016459974,-2512.1806459973996,2512.1806459973996
2024-06-14 02:45:00+00:00,26368.59,28336.410825142408,-1967.8208251424076,1967.8208251424076
2024-06-14 03:00:00+00:00,27341.995,33127.82650328159,-5785.831503281592,5785.831503281592
2024-06-14 03:15:00+00:00,27936.742,33158.37533763306,-5221.6333376330585,5221.6333376330585
2024-06-14 03:30:00+00:00,28319.102,33535.004858939625,-5215.902858939626,5215.902858939626
