datetime,predicted_consumption,day,hour,weekday,confidence_interval,lower_bound,upper_bound
2025-10-04 13:30:00+00:00,37937.54515495,2025-10-04,13,Saturday,2521.945853614549,35415.59930133545,40459.491008564546
2025-10-04 13:45:00+00:00,37937.54515495,2025-10-04,13,Saturday,2522.7970394354666,35414.748115514536,40460.34219438546
2025-10-04 14:00:00+00:00,37715.24846484368,2025-10-04,14,Saturday,2523.6472736782744,35191.601191165406,40238.895738521955
2025-10-04 14:15:00+00:00,37715.24846484368,2025-10-04,14,Saturday,2524.496559527288,35190.75190531639,40239.74502437097
2025-10-04 14:30:00+00:00,37715.24846484368,2025-10-04,14,Saturday,2525.3449001491026,35189.90356469458,40240.59336499278
2025-10-04 14:45:00+00:00,37715.24846484368,2025-10-04,14,Saturday,2526.1922986927307,35189.05616615095,40241.44076353641
2025-10-04 15:00:00+00:00,37715.24846484368,2025-10-04,15,Saturday,2527.038758289739,35188.20970655394,40242.28722313342
2025-10-04 15:15:00+00:00,37715.24846484368,2025-10-04,15,Saturday,2527.8842820543823,35187.3641827893,40243.13274689806
2025-10-04 15:30:00+00:00,37715.24846484368,2025-10-04,15,Saturday,2528.7288730837404,35186.51959175994,40243.97733792742
2025-10-04 15:45:00+00:00,37715.24846484368,2025-10-04,15,Saturday,2529.5725344578454,35185.675930385834,40244.820999301526
2025-10-04 16:00:00+00:00,39129.58834884259,2025-10-04,16,Saturday,2530.415269239817,36599.17307960277,41660.00361808241
2025-10-04 16:15:00+00:00,39129.58834884259,2025-10-04,16,Saturday,2531.2570804759894,36598.3312683666,41660.84542931858
2025-10-04 16:30:00+00:00,39129.58834884259,2025-10-04,16,Saturday,2532.097971196042,36597.49037764655,41661.68632003863
2025-10-04 16:45:00+00:00,39129.58834884259,2025-10-04,16,Saturday,2532.9379444131255,36596.65040442946,41662.526293255716
2025-10-04 17:00:00+00:00,38741.80423422467,2025-10-04,17,Saturday,2533.7770031239875,36208.027231100685,41275.581237348655
2025-10-04 17:15:00+00:00,38741.80423422467,2025-10-04,17,Saturday,2534.6151503090987,36207.18908391557,41276.41938453377
2025-10-04 17:30:00+00:00,38741.80423422467,2025-10-04,17,Saturday,2535.4523889327743,36206.351845291894,41277.256623157446
2025-10-04 17:45:00+00:00,38741.80423422467,2025-10-04,17,Saturday,2536.2887219432982,36205.515512281374,41278.092956167966
2025-10-04 18:00:00+00:00,35794.761992933694,2025-10-04,18,Saturday,2537.124152273043,33257.63784066065,38331.886145206736
2025-10-04 18:15:00+00:00,35794.761992933694,2025-10-04,18,Saturday,2537.958682838591,33256.8033100951,38332.72067577229
2025-10-04 18:30:00+00:00,35794.761992933694,2025-10-04,18,Saturday,2538.792316540852,33255.969676392844,38333.554309474544
2025-10-04 18:45:00+00:00,35794.761992933694,2025-10-04,18,Saturday,2539.6250562651803,33255.13693666851,38334.38704919888
2025-10-04 19:00:00+00:00,33688.47686447651,2025-10-04,19,Saturday,2540.456904881494,31148.019959595018,36228.93376935801
2025-10-04 19:15:00+00:00,33688.47686447651,2025-10-04,19,Saturday,2541.287865244388,31147.188999232127,36229.764729720904
2025-10-04 19:30:00+00:00,33688.47686447651,2025-10-04,19,Saturday,2542.1179401932473,31146.358924283268,36230.59480466976
2025-10-04 19:45:00+00:00,33688.47686447651,2025-10-04,19,Saturday,2542.947132552364,31145.52973192415,36231.423997028876
2025-10-04 20:00:00+00:00,31568.056997011816,2025-10-04,20,Saturday,2543.7754451310466,29024.28155188077,34111.83244214286
2025-10-04 20:15:00+00:00,31568.056997011816,2025-10-04,20,Saturday,2544.60288072373,29023.454116288085,34112.65987773555
2025-10-04 20:30:00+00:00,31568.056997011816,2025-10-04,20,Saturday,2545.42944211009,29022.627554901726,34113.48643912191
2025-10-04 20:45:00+00:00,31568.056997011816,2025-10-04,20,Saturday,2546.255132055147,29021.80186495667,34114.312129066966
2025-10-04 21:00:00+00:00,29888.520473735047,2025-10-04,21,Saturday,2547.0799533093773,27341.44052042567,32435.600427044425
2025-10-04 21:15:00+00:00,29609.826996832842,2025-10-04,21,Saturday,2547.9039086088183,27061.923088224023,32157.730905441662
2025-10-04 21:30:00+00:00,29477.21814766977,2025-10-04,21,Saturday,2548.727000675176,26928.491146994595,32025.945148344945
2025-10-04 21:45:00+00:00,29513.791645055873,2025-10-04,21,Saturday,2549.549232215929,26964.242412839943,32063.340877271803
2025-10-04 22:00:00+00:00,26489.612814411623,2025-10-04,22,Saturday,2550.3706059244305,23939.242208487194,29039.98342033605
2025-10-04 22:15:00+00:00,26489.612814411623,2025-10-04,22,Saturday,2551.1911244800153,23938.42168993161,29040.803938891637
2025-10-04 22:30:00+00:00,26372.48526499654,2025-10-04,22,Saturday,2552.010790548099,23820.47447444844,28924.496055544638
2025-10-04 22:45:00+00:00,26372.48526499654,2025-10-04,22,Saturday,2552.8296067802785,23819.65565821626,28925.31487177682
2025-10-04 23:00:00+00:00,25850.425560069303,2025-10-04,23,Saturday,2553.6475758144347,23296.77798425487,28404.073135883737
2025-10-04 23:15:00+00:00,25850.425560069303,2025-10-04,23,Saturday,2554.464700274829,23295.960859794475,28404.89026034413
2025-10-04 23:30:00+00:00,25850.425560069303,2025-10-04,23,Saturday,2555.2809827722017,23295.144577297102,28405.706542841504
2025-10-04 23:45:00+00:00,25850.425560069303,2025-10-04,23,Saturday,2556.0964259038733,23294.32913416543,28406.521985973177
2025-10-05 00:00:00+00:00,25632.971407989346,2025-10-05,0,Sunday,2556.9110322538354,23076.06037573551,28189.882440243182
2025-10-05 00:15:00+00:00,25632.971407989346,2025-10-05,0,Sunday,2557.724804392849,23075.246603596497,28190.696212382194
2025-10-05 00:30:00+00:00,25632.971407989346,2025-10-05,0,Sunday,2558.5377448785393,23074.433663110805,28191.509152867886
2025-10-05 00:45:00+00:00,25632.971407989346,2025-10-05,0,Sunday,2559.349856255489,23073.621551733857,28192.321264244834
2025-10-05 01:00:00+00:00,25360.11872044643,2025-10-05,1,Sunday,2560.1611410553314,22799.9575793911,27920.27986150176
2025-10-05 01:15:00+00:00,25360.11872044643,2025-10-05,1,Sunday,2560.9716017968412,22799.147118649587,27921.09032224327
2025-10-05 01:30:00+00:00,25371.53074531406,2025-10-05,1,Sunday,2561.7812409860285,22809.749504328032,27933.311986300087
2025-10-05 01:45:00+00:00,25360.11872044643,2025-10-05,1,Sunday,2562.5900611162265,22797.528659330204,27922.708781562655
2025-10-05 02:00:00+00:00,24930.748919761987,2025-10-05,2,Sunday,2563.398064668182,22367.350855093806,27494.14698443017
2025-10-05 02:15:00+00:00,24930.748919761987,2025-10-05,2,Sunday,2564.2052541101457,22366.543665651843,27494.95417387213
2025-10-05 02:30:00+00:00,25046.71863896238,2025-10-05,2,Sunday,2565.0116318979567,22481.707007064422,27611.730270860335
2025-10-05 02:45:00+00:00,25046.71863896238,2025-10-05,2,Sunday,2565.8172004751336,22480.901438487246,27612.53583943751
2025-10-05 03:00:00+00:00,26654.34696200828,2025-10-05,3,Sunday,2566.621962272958,24087.72499973532,29220.96892428124
2025-10-05 03:15:00+00:00,26863.739536689707,2025-10-05,3,Sunday,2567.4259197105616,24296.313616979147,29431.165456400267
2025-10-05 03:30:00+00:00,27007.842517052763,2025-10-05,3,Sunday,2568.2290751950095,24439.613441857753,29576.071592247772
2025-10-05 03:45:00+00:00,27228.13370722878,2025-10-05,3,Sunday,2569.0314311213874,24659.10227610739,29797.165138350167
2025-10-05 04:00:00+00:00,31628.76581745173,2025-10-05,4,Sunday,2569.8329898728816,29058.93282757885,34198.59880732461
2025-10-05 04:15:00+00:00,31984.28377519939,2025-10-05,4,Sunday,2570.6337538208627,29413.650021378526,34554.917529020255
2025-10-05 04:30:00+00:00,32060.86829332227,2025-10-05,4,Sunday,2571.433725324968,29489.4345679973,34632.302018647235
2025-10-05 04:45:00+00:00,32341.630941735973,2025-10-05,4,Sunday,2572.232906733182,29769.398035002792,34913.863848469155
2025-10-05 05:00:00+00:00,36649.46851377382,2025-10-05,5,Sunday,2573.031300381918,34076.4372133919,39222.49981415574
2025-10-05 05:15:00+00:00,36500.66723493023,2025-10-05,5,Sunday,2573.828908596095,33926.83832633414,39074.496143526325
2025-10-05 05:30:00+00:00,36500.66723493023,2025-10-05,5,Sunday,2574.625733689221,33926.04150124101,39075.292968619455
2025-10-05 05:45:00+00:00,36500.66723493023,2025-10-05,5,Sunday,2575.421777963467,33925.24545696677,39076.089012893695
2025-10-05 06:00:00+00:00,36359.25377589217,2025-10-05,6,Sunday,2576.2170437097457,33783.03673218242,38935.47081960191
2025-10-05 06:15:00+00:00,36359.25377589217,2025-10-05,6,Sunday,2577.011533207792,33782.24224268438,38936.26530909996
2025-10-05 06:30:00+00:00,36359.25377589217,2025-10-05,6,Sunday,2577.805248726234,33781.448527165936,38937.0590246184
2025-10-05 06:45:00+00:00,36359.25377589217,2025-10-05,6,Sunday,2578.5981925226715,33780.655583369495,38937.85196841484
2025-10-05 07:00:00+00:00,36685.817735866316,2025-10-05,7,Sunday,2579.3903668437506,34106.42736902257,39265.208102710065
2025-10-05 07:15:00+00:00,36685.817735866316,2025-10-05,7,Sunday,2580.181773925238,34105.63596194108,39265.99950979155
2025-10-05 07:30:00+00:00,36685.817735866316,2025-10-05,7,Sunday,2580.9724159920934,34104.84531987422,39266.79015185841
